,Listing phrase,Category level 1,Category level 2,Type of NPS,Type of NPS new,Other name 1,Other name 2,Other name 3,Other name 4,Chemical name,Listing phrase length,listing phrase
952,4-Anilinopiperidine,4-Anilinopiperidine,NPS,Piperidines & pyrrolidines,,,,,,N-phenylpiperidin-4-amine,,4-anilinopiperidine
955,4-BA,4-BA,NPS,Phenethylamines,Stimulant,4-Bromoamphetamine,,,,-(4-bromophenyl)propan-2-amine,,4-ba
956,4-BEC,4-BEC,NPS,Cathinone,Stimulant,4-Bromoethcathinone,,,,1-(4-bromophenyl)-2-(ethylamino)propan-1-one,,4-bec
1441,4-BMC,brephedrone,NPS,,Empathogens-Entactogens,4-Bromomethcathinone,,,,,,4-bmc
957,4-Benzylpiperidine,4-Benzylpiperidine,NPS,,Stimulant,,,,,(phenylmethyl)piperidine,,4-benzylpiperidine
960,4-Bromomethamphetamine,4-Bromomethamphetamine,NPS,Phenethylamines,Stimulant,,,,,1-(4-bromophenyl)-n-methylpropan-2-amine,,4-bromomethamphetamine
961,4-CA,4-CA,NPS,,Hallucinogen/dissociative/psychedelic,4-chloroamphetamine,,,,1-(4-chlorophenyl) propan-2-amine,,4-ca
962,4-CBC,4-cbc,NPS,,Stimulant,,,,,,,4-cbc
964,4-CDC,4-cdc,NPS,,Stimulant,,,,,,,4-cdc
965,4-CEC,4-cec,NPS,,Stimulant,,,,,,,4-cec
979,4-CIC,4-cic,NPS,,,,,,,,,4-cic
976,4-CL-PVP,4CI-alpha-PVP,NPS,,Stimulant,,,,,,,4-cl-pvp
991,4-CMA,4-CMA,NPS,,Stimulant,Ro 4-6861,CMA,PCMA,p-CMA,1-(4-chlorophenyl)-N-methylpropan-2-amine,,4-cma
1478,4-CMC,clephedrone,NPS,,Stimulant,,,,,,,4-cmc
978,4-CPVP,4CI-alpha-PVP,NPS,,Stimulant,,,,,,,4-cpvp
990,4-CPrC,4-Cl-PPP,NPS,,Stimulant,,,,,,,4-cprc
966,4-Chloroethcathinone,4-cec,NPS,,Stimulant,,,,,,,4-chloroethcathinone
970,4-Chlorofuranylfentanyl,4-Chlorofuranylfentanyl,NPS,,Sedative - opioid,,,,,4-Chlorofuranylfentanyl,,4-chlorofuranylfentanyl
971,4-Chloromethamphetamine,4-Chloromethamphetamine,NPS,Phenethylamines,Stimulant,,,,,"4-chloro-N,alpha-dimethyl-benzeneethanamine",,4-chloromethamphetamine
1476,4-Chloromethcathinone,clephedrone,NPS,,Stimulant,,,,,,,4-chloromethcathinone
973,4-Chloropentedrone,4-Chloropentedrone,NPS,Cathinones,Stimulant,,,,,1-(4-chlorophenyl)-2-(methylamino)pentan-1-one,,4-chloropentedrone
986,4-Cl-EAPP,4-Cl-EAPP,NPS,,Stimulant,4-Cl-alpha-EAPP,,,,,,4-cl-eapp
989,4-Cl-PPP,4-Cl-PPP,NPS,Cathinones,Stimulant,4’-Chloro-alpha-PPP,,,,1-(4-chlorophenyl)-2-(1-pyrrolidinyl)propan-1-one,,4-cl-ppp
992,4-EA NBOMe,4-EA NBOMe,NPS,,Hallucinogen/dissociative/psychedelic,,,,,1-(4-ethylphenyl)-N-[(2-methoxyphenyl)methyl]propan-2-amine,,4-ea nbome
993,4-EAPB,4-EAPB,NPS,,Stimulant,,,,,1-(1-benzofuran-4-yl)-N-ethylpropan-2-amine,,4-eapb
994,4-EEC,4-EEC,NPS,Cathinones,Stimulant,4-Ethylethcathinone,,,,2-(ethylamino)-1-(4-ethylphenyl)propan-1-one,,4-eec
995,4-EFMC,4-EFMC,NPS,,Stimulant,,,,,,,4-efmc
998,4-EMC,4-ethylmethcathinone,NPS,,Stimulant,,,,,,,4-emc
997,4-Ethylephedrine,4-Ethylephedrine,NPS,Phenethylamines,,,,,,1-(4-ethylphenyl)-2-(methylamino)propan-1-ol,,4-ethylephedrine
1017,4-F-EPH,4f-eph,NPS,Piperidines & pyrrolidines,Stimulant,4-Fluoroethylphenidate,,,,(ethyl 2-(4-fluorophenyl)-2-(2-piperidyl)acetate,,4-f-eph
1000,4-FA,4-FA,NPS,,Stimulant,,,,,,,4-fa
1010,4-FBF,4F-BF,NPS,Opioids,Sedative - opioid,4-Fluorobutyrfentanyl,,,,,,4-fbf
1014,4-FEA,4-FEA,NPS,Phenethylamines,Stimulant,4-fluoroethamphetamine,,,,ethyl[1-(4-fluorophenyl)propan-2-yl]amine,,4-fea
1015,4-FEC,4-FEC,NPS,,Stimulant,4-fluoroethcathinone,,,,(2-(ethylamino)-1-(4-fluorophenyl)propan-1-one,,4-fec
1024,4-FIC,4-FIC,NPS,,,,,,,4-Fluoroisocathinone,,4-fic
1045,4-FMA,4-fma,NPS,Empathogen,Stimulant,,,,,,,4-fma
1046,4-FMC,4-fmc,NPS,Empathogen,Stimulant,,,,,,,4-fmc
1037,4-FMP,4-fluoromethylphenidate,NPS,,Stimulant,,,,,,,4-fmp
1053,4-FPD,4-FPD,NPS,,Stimulant,4-fluoropentedrone,,,,1-(4-fluorophenyl)-2-(methylamino)pentan-1-one ,,4-fpd
1056,4-FPM,4-FPM,NPS,,,,,,,4-fluorophenmetrazine,,4-fpm
1021,4-FiBF,4f-ibf,NPS,,Sedative - opioid,4-Fluoroisobutyrfentanyl,,,,,,4-fibf
1033,4-Fluoro Methoxyacetyl fentanyl,4-Fluoro-Methoxyacetyl-fentanyl,NPS,Opioids,Sedative - opioid,,,,,N-(4-fluorophenyl)-2-methoxy-N-[1-(2-phenylethyl)piperidin-4-yl]acetamide,,4-fluoro methoxyacetyl fentanyl
1028,4-Fluoro butyrfentanyl,4-Fluorobutyrfentanyl,NPS,,Sedative - opioid,,,,,N-(4-fluorophenyl)-N-[(1-(2-phenylethyl)-4-piperidinyl)]butanamide,,4-fluoro butyrfentanyl
1041,4-Fluoro-N-isopropylnorpentedrone,4-Fluoro-N-isopropylnorpentedrone,NPS,,Stimulant,,,,,1-(4-fluorophenyl)-2-(1-methylethylamino) pentan-1-one,,4-fluoro-n-isopropylnorpentedrone
1054,4-Fluoro-alpha-PHP,4F-PHP,NPS,,Stimulant,,,,,,,4-fluoro-alpha-php
1027,4-Fluorobuphedrone,4-Fluorobuphedrone,NPS,Cathinones,Stimulant,,,,,1-(4-fluorophenyl)-2-(methylamino)butan-1-one,,4-fluorobuphedrone
1011,4-Fluorobutyrfentanyl,4f-bf,NPS,,Sedative - opioid,4f-bf,,,,,,4-fluorobutyrfentanyl
1029,4-Fluorocathinone,4-Fluorocathinone,NPS,,Stimulant,4-FEC,,,,2-amino-1-(4-fluorophenyl)propan-1-one,,4-fluorocathinone
1030,4-Fluorococaine,4-Fluorococaine,NPS,,Stimulant,,,,,,,4-fluorococaine
1032,4-Fluoroephedrine,4-Fluoroephedrine,NPS,,,,,,,1-(4-fluorophenyl)-2-(methylamino) propan-1-ol,,4-fluoroephedrine
1023,4-Fluoroiso-butyrfentanyl,4f-ibf,NPS,,Sedative - opioid,4-Fluoroisobutyrfentanyl,,,,,,4-fluoroiso-butyrfentanyl
1022,4-Fluoroisobutyrfentanyl,4f-ibf,NPS,,Sedative - opioid,4-Fluoroisobutyrfentanyl,,,,,,4-fluoroisobutyrfentanyl
1034,4-Fluoromethylphenidate,4-fluoromethylphenidate,NPS,,Stimulant,,,,,,,4-fluoromethylphenidate
1042,4-Fluorooctedrone,4-Fluorooctedrone,NPS,,Stimulant,,,,,4-Fluorooctedrone,,4-fluorooctedrone
1043,4-Fluoropentedrone,4-Fluoropentedrone,NPS,,Stimulant,,,,,1-(4-fluorophenyl)-2-(methylamino)pentan-1-one,,4-fluoropentedrone
1031,4-Flurorococaine,4-Fluorococaine,NPS,,Stimulant,,,,,,,4-flurorococaine
1059,4-HO-DET,4-HO-DET,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"4-hydroxy-N,N-diethyltryptamine",,4-ho-det
1060,4-HO-DIPT,4-HO-DIPT,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"4-hydroxy-N,N-diisopropyltryptamine",,4-ho-dipt
1061,4-HO-DPT,4-HO-DPT,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"4-hydroxy-N,N-dipropyltryptamine",,4-ho-dpt
1064,4-HO-MET,4-HO-MET,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,4-hydroxy MET, 4-hydroxy-N-methyl-Nethyltryptamine,Metocin,Methylcybin,4-Hydroxy-N-methyl-N-ethyltryptamine,,4-ho-met
1062,4-HO-McPT,4-HO-McPT,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,3-{2-[cyclopropyl(methyl)amino]ethyl}-1H-indol-4-ol,,4-ho-mcpt
1065,4-HO-MiPT,4-ho-mipt,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,4-ho-mipt
1066,4-HTMPIPO,4-HTMPIPO,NPS,,Hallucinogen/dissociative/psychedelic,,,,,"4-hydroxy-3,3,4-trimethyl-1-(1-pentyl-1Hindol-3-yl)pentan-1-one)",,4-htmpipo
1067,4-Hydroxyamphetamine,4-Hydroxyamphetamine,NPS,,Stimulant,,,,,4-Hydroxyamphetamine,,4-hydroxyamphetamine
1069,4-Hydroxymethcathinone,4-Hydroxymethcathinone,NPS,Cathinones,,,,,,1-(4-hydroxy-phenyl)-2-methylamino-propan-1-one,,4-hydroxymethcathinone
1071,4-MA,4-MA,NPS,Phenethylamines,Empathogens-Entactogens,,,,,4-methylamphetamine,,4-ma
1073,4-MA-NBOMe,4-MA-NBOMe,NPS,,,,,,,[(2-methoxyphenyl)methyl][1-(4-methylphenyl)propan-2-yl]amine,,4-ma-nbome
652,4-MAR,4-MAR,NPS,,,4-MAX,4-Methylaminorex,,,"4-Methyl-5-phenyl-4,5-dihydro-1,3-oxazol-2-amine",,4-mar
1074,4-MBC,4-mbc,NPS,,,,,,,,,4-mbc
1076,4-MC,4-MC,NPS,Cathinones,,,,,,2-amino-1-(4-methylphenyl)propan-1-one,,4-mc
1077,4-MDEC,4-MDEC,NPS,Cathinones,,4-Methyldiethcathinone,,,,2-(diethylamino)-1-(4-methylphenyl)propan-1-one,,4-mdec
1078,4-MDMC,4-MDMC,NPS,Cathinones,,,,,,2-dimethylamino-1-(4-methylphenyl)propan-1-one,,4-mdmc
1079,4-MEAP,4-MEAP,NPS,Cathinones,Stimulant,4-Methyl-N-ethylnorpentedrone,4-Methyl-alpha-ethylaminopentiophenone,,,2-(ethylamino)-1-(4-methylphenyl)pentan-1-one,,4-meap
1109,4-MEC,4-methylethcathinone,NPS,,Stimulant,,,,,,,4-mec
1099,4-MED-PV8,4-methoxy-PV8,NPS,,,,,,,,,4-med-pv8
1085,4-MEO-BF,4-meo-bf,NPS,,,,,,,,,4-meo-bf
1093,4-MEO-PVP,4-MEO-PVP,NPS,Cathinones,,,,,,1-(4-methoxyphenyl)-2-(pyrrolidin-1-yl)pentan-1-one,,4-meo-pvp
1122,4-MMA,4-MMA,NPS,,Empathogens-Entactogens,4-Methylmethamphetamine,,,,N-methyl-1-(4-methylphenyl)propan-2-amine,,4-mma
1123,4-MMA NBOMe,4-MMA NBOMe,NPS,Phenethylamines,,,,,,N-[(2-methoxyphenyl)methyl]-N-methyl-1-(p-tolyl)propan-2-amine,,4-mma nbome
1125,4-MMC,Mephedrone,NPS,,Stimulant,,,,,,,4-mmc
1126,4-MMPH,4-MMPH,NPS,,,4-methylmethylphenidate,,,,methyl 2-(2-piperidyl)-2-(p-tolyl)acetate,,4-mmph
1117,4-MPD,4-methylpentedrone,NPS,,Stimulant,,,,,,,4-mpd
1127,4-MPH,4-MPH,NPS,,Hallucinogen/dissociative/psychedelic,4-MPM,4-methylphenmetrazine,,,3-methyl-2-(p-tolyl)morpholine),,4-mph
1128,4-MPM,4-mph,NPS,,,,,,,,,4-mpm
1080,4-Me-NEB,4-Me-NEB,NPS,,,,,,,1-(4-Methylphenyl)-2-ethylaminobutan-1-one,,4-me-neb
1094,4-Me-PCP,4-Me-PCP,NPS,,Hallucinogen/dissociative/psychedelic,,,,,1-[1-(4-Methylphenyl)cyclohexyl]-piperidine,,4-me-pcp
1121,4-Me-TMP,4-Me-TMP,NPS,Piperidines & pyrrolidines,,,,,,methyl-2-(4-methylphenyl)-2-(piperidin-2-yl)acetate,,4-me-tmp
1086,4-MeO-Butyr Fentanyl,4-MeO-BF or 4-methoxybutyrfentanyl,NPS,,Sedative - opioid,,,,,,,4-meo-butyr fentanyl
1088,4-MeO-DMT,4-meo-dmt,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,4-meo-dmt
1087,4-MeO-DiPT,4-MeO-DiPT,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,[2-(4-methoxy-1H-indol-3-yl)ethyl]bis(propan-2-yl)amine,,4-meo-dipt
1089,4-MeO-MAM2201,4-MeO-MAM2201,NPS,,Cannabinoid,AM2201 4-methoxynaphtyl analog,,,,,,4-meo-mam2201
1090,4-MeO-PCE,4-MeO-PCE,NPS,Arylcyclohexylamines,Hallucinogen/dissociative/psychedelic,,,,,N-ethyl-1-(4-methoxyphenyl)cyclohexan-1-amine,,4-meo-pce
1091,4-MeO-PCP,4-meo-pcp,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,4-meo-pcp
1092,4-MeO-PV8,4-MeO-PV8,NPS,,,4-methoxy-PV8,4-methoxy-PHPP,p-MeO-PV8,4-methoxy PHPP,4-methoxy-alpha-pyrolidinoheptanophenone,,4-meo-pv8
1081,4-MeO-alpha-PBP,4-MeO-alpha-PBP,NPS,,Stimulant,,,,,1-(4-methoxyphenyl)-2-(pyrrolidin-1-yl)butan-1-one,,4-meo-alpha-pbp
1082,4-MeO-alpha-PEP,4-MeO-alpha-PEP,NPS,,Stimulant,,,,,1-(4-methoxyphenyl)-2-pyrrolidin-1-yl-heptan-1-one,,4-meo-alpha-pep
1083,4-MeO-alpha-PV9,4-MeO-alpha-PV9,NPS,Cathinones,,4-MeO-alpha-POP,4-MeO-PV9,,,1-(4-methoxyphenyl)-2-(pyrrolidin-1-yl)octan-1-one,,4-meo-alpha-pv9
1084,4-MeO-alpha-PVP,4-MeO-alpha-PVP,NPS,,,,,,,(1-(4-methoxyphenyl)-2-(pyrrolidin-1-yl)pentan-1-one,,4-meo-alpha-pvp
1095,4-MePP,4-MePP,NPS,,,pMePP,,,,4-Methylphenylpiperazine,,4-mepp
1120,4-MePPP,4-Methylphenylpiperazine,NPS,,,,,,,,,4-meppp
1098,"4-Methoxy-N,N-dimethylcathinone","4-Methoxy-N,N-dimethylcathinone",NPS,,Sedative - opioid,,,,,"4-Methoxy-N,N-dimethylcathinone",,"4-methoxy-n,n-dimethylcathinone"
1096,4-Methoxymethylfentanyl,4-Methoxymethylfentanyl,NPS,,Sedative - opioid,R-30490,,,,N-[4-(methoxymethyl)-1-(2-phenylethyl)piperidin-4-yl]-N-phenylpropanamide,,4-methoxymethylfentanyl
1111,"4-Methyl-N,N-diethylcathinone","4-Methyl-N,N-diethylcathinone",NPS,,,,,,,2-diethylamino-1-(4-methylphenyl)propan-1-one,,"4-methyl-n,n-diethylcathinone"
1112,4-Methyl-N-ethyl-norephedrine,4-Methyl-N-ethyl-norephedrine,NPS,Phenethylamines,,,,,,1-(4-Methylphenyl)-2-ethylamino-1-propanol,,4-methyl-n-ethyl-norephedrine
1113,4-Methyl-N-methylbuphedrone,4-Methyl-N-methylbuphedrone,NPS,,,,,,,1-(4-Methylphenyl)-2-dimethylaminobutan-1-one,,4-methyl-n-methylbuphedrone
1101,4-Methyl-alpha-ethyltryptamine,4-Methyl-alpha-ethyltryptamine,NPS,,,,,,,4-Methyl-alpha-ethyltryptamine,,4-methyl-alpha-ethyltryptamine
1114,4-MethylPentedrone,4-methylpentedrone,NPS,,Stimulant,,,,,,,4-methylpentedrone
1100,4-Methylacetylfentanyl,4-Methylacetylfentanyl,NPS,,Sedative - opioid,,,,,N-(1-phenethylpiperidin-4-yl)-N-(p-tolyl)acetamide,,4-methylacetylfentanyl
1102,4-Methylaminorex,4-Methylaminorex,NPS,,Stimulant,,,,,,,4-methylaminorex
1104,4-Methylaminorex p-methyl derivative,4-Methylaminorex p-methyl derivative,NPS,,Stimulant,,,,,,,4-methylaminorex p-methyl derivative
1107,4-Methyldiethcathinone,4-Methyldiethcathinone,NPS,Cathinones,,,,,,2‐(diethylamino)‐1‐(4‐methylphenyl)propan‐1‐one,,4-methyldiethcathinone
1108,4-Methylephedrine,4-Methylephedrine,NPS,Phenethylamines,,,,,,1-(4-Methylphenyl)-2-methylamino-1-propanol,,4-methylephedrine
1118,4-Methylphendimetrazine,4-Methylphendimetrazine,NPS,,,,,,,,,4-methylphendimetrazine
1129,4-OH-BF,4-OH-BF,NPS,,Sedative - opioid,4-Hydroxybutyrfentanyl,,,,N-(4-hydroxyphenyl)-N-(1-phenethylpiperidin-4-yl)butyramide ,,4-oh-bf
1130,4-OH-T,4-OH-T,NPS,,,,,,,4-Hydroxytryptamine,,4-oh-t
967,"4-chloro-2,5-DMA","4-chloro-2,5-DMA",NPS,Phenethylamines,,,,,,"1-(4-Chloro-2,5-dimethoxy-phenyl)propan-2-amine",,"4-chloro-2,5-dma"
972,4-chloro-N-butylcathinone,4-chloro-N-butylcathinone,NPS,,Stimulant,,,,,2-(butylamino)-1-(4-chlorophenyl)propan-1-one,,4-chloro-n-butylcathinone
968,4-chlorodiazepam,4-chlorodiazepam,NPS,,Sedative - benzodiazepine,,,,,"7-chloro-5-(4-chlorophenyl)-1-methyl-3H-1,4-benzodiazepin-2- one",,4-chlorodiazepam
996,4-ethyl pentedrone,4-ethyl pentedrone,NPS,Cathinones,Stimulant,,,,,1-(4-ethylphenyl)-2-(methylamino)pentan-1-one,,4-ethyl pentedrone
1006,4-fluor-a-PVP,4F-alpha-PVP,NPS,,Stimulant,,,,,,,4-fluor-a-pvp
1026,4-fluoro acrylfentanyl,4-fluoroacrylfentanyl,NPS,Opioids,Sedative - opioid,,,,,N-(4-fluorophenyl)-N-[1-(2-phenylethyl)piperidin-4-yl]prop-2-enamide,,4-fluoro acrylfentanyl
1039,4-fluoro-N-ethylbuphedrone,4-fluoro-N-ethylbuphedrone,NPS,,Stimulant,,,,,4-fluoro-N-ethylbuphedrone,,4-fluoro-n-ethylbuphedrone
1040,4-fluoro-N-ethylpentedrone,4-fluoro-N-ethylpentedrone,NPS,,Stimulant,,,,,2-(ethylamino)-1-(4-fluorophenyl)pentan-1-one,,4-fluoro-n-ethylpentedrone
1001,4-fluoroamphetamine,4-FA,NPS,,Stimulant,,,,,,,4-fluoroamphetamine
1068,4-hydroxy-DiPT,4-hydroxy-DiPT,NPS,Indolalkylamines (fe tryptamines),Hallucinogen/dissociative/psychedelic,,,,,3-{2-[bis(propan-2-yl)amino]ethyl}-1H-indol-4-ol,,4-hydroxy-dipt
1070,4-hydroxy-N-methyl-N-cyclopropyltryptamine,4-hydroxy-N-methyl-N-cyclopropyltryptamine,NPS,,,,,,,4-hydroxy-N-methyl-N-cyclopropyltryptamine,,4-hydroxy-n-methyl-n-cyclopropyltryptamine
1903,4-methyl-PHP,MPHP,NPS,,Stimulant,,,,,,,4-methyl-php
1115,4-methyl-pentedrone,4-methylpentedrone,NPS,,Stimulant,,,,,,,4-methyl-pentedrone
1072,4-methylamphetamine,4-MA,NPS,,Empathogens-Entactogens,,,,,,,4-methylamphetamine
1105,4-methylbuphedrone,4-methylbuphedrone,NPS,,Stimulant,4-MeMABP,,,,2-(methylamino)-1-(4-methylphenyl)butan-1-one,,4-methylbuphedrone
1106,"4-methylbuphedrone, N-benzyl derivative ","4-methylbuphedrone, N-benzyl derivative ",NPS,,Stimulant,,,,,N-benzyl derivative (2-(benzylamino)-1-(4-methylphenyl)butan-1-one,,"4-methylbuphedrone, n-benzyl derivative"
1110,4-methylethcathinone,4-methylethcathinone,NPS,Cathinones,Stimulant,,,,,2-Ethylamino-1-(4-methylphenyl)-1-propanone,,4-methylethcathinone
1131,4-phenyl U-51754,4-phenyl U-51754,NPS,Opioids,Sedative - opioid,,,,,"2‐{[1,1'‐biphenyl]‐4‐yl}‐N‐[2‐(dimethylamino)cyclohexyl]‐N‐methylacetamide",,4-phenyl u-51754
958,4Br-alpha-PPP,4Br-alpha-PPP,NPS,,Stimulant,,,,,1-(4-bromophenyl)-2-pyrrolidin-1-yl-propan-1-one,,4br-alpha-ppp
959,4Br-alpha-PVP,4Br-alpha-PVP,NPS,,Stimulant,,,,,1-(4-bromophenyl)-2-pyrrolidin-1-yl-pentan-1-one,,4br-alpha-pvp
963,4CDC,4-cdc,NPS,,Stimulant,,,,,,,4cdc
974,4CI-alpha-PVP,4CI-alpha-PVP,NPS,,Stimulant,4-Cl-alpha-PVP,4C-alpha-pvp,4c-apvp,,4-chloro-alpha-pyrrolidinovalerophenone,,4ci-alpha-pvp
975,4CL-PVP,4CI-alpha-PVP,NPS,,Stimulant,,,,,,,4cl-pvp
1477,4CMC,clephedrone,NPS,,Stimulant,,,,,,,4cmc
980,4Cl-Acrylfentanyl,4Cl-Acrylfentanyl,NPS,Opioids,Sedative - opioid,,,,,N-(4-chlorophenyl)-N-[1-(2-phenylethyl)piperidin-4-yl]prop-2-enamide,,4cl-acrylfentanyl
983,4Cl-CUMYL-PINACA,4Cl-CUMYL-PINACA,NPS,Cannabinoids,Cannabinoid,,,,,N‐[2‐(4‐chlorophenyl)propan‐2‐yl]‐1‐pentyl‐1H‐indazole‐3‐carboxamide,,4cl-cumyl-pinaca
984,4Cl-Cyclopentyl-F,4Cl-Cyclopentyl-F,NPS,Opioids,Sedative - opioid,,,,,N-(4-chlorophenyl)-N-[1-(2-phenylethyl)piperidin-4-yl]cyclopentanecarboxamide,,4cl-cyclopentyl-f
985,4Cl-Cyclopropyl-F,4Cl-Cyclopropyl-F,NPS,Opioids,Sedative - opioid,,,,,N-(4-chlorophenyl)-N-[1-(2-phenylethyl)piperidin-4-yl]cyclopropanecarboxamide,,4cl-cyclopropyl-f
987,4Cl-Fu-F,4Cl-Fu-F,NPS,Opioids,Sedative - opioid,,,,,N-(4-chlorophenyl)-N-[1-(2-phenylethyl)piperidin-4-yl]furan-2-carboxamide,,4cl-fu-f
981,4Cl-alpha-PHP,4Cl-alpha-PHP,NPS,Cathinones,Stimulant,,,,,1-(4-chlorophenyl)-2-(pyrrolidin-1-yl)hexan-1-one,,4cl-alpha-php
982,4Cl-butyryl-fentanyl,4Cl-butyryl-fentanyl,NPS,Opioids,Sedative - opioid,,,,,N-(4-chlorophenyl)-N-[1-(2-phenylethyl)piperidin-4-yl]butanamide,,4cl-butyryl-fentanyl
988,4Cl-iBF,4Cl-iBF,NPS,Opioids,Sedative - opioid,4-Chloroisobutyrfentanyl,,,,N-(4-chlorophenyl)-2-methyl-N-[1-(2-phenylethyl)-4-piperidyl] propanamide,,4cl-ibf
1003,4F-AB-PINACA,4F-AB-PINACA,NPS,,Cannabinoid,,,,,,,4f-ab-pinaca
1008,4F-AMB,4F-AMB,NPS,,Cannabinoid,,,,,,,4f-amb
1009,4F-BF,4F-BF,NPS,Opioids,Sedative - opioid,4-Fluorobutyrfentanyl,,,,1-((4-fluorophenyl)(1-phenethylpiperidin-4-yl)amino)butan-1-one,,4f-bf
1012,4F-CUMYL-5F-PICA,4F-CUMYL-5F-PICA,NPS,Cannabinoids,Cannabinoid,,,,,1‐(5‐fluoropentyl)‐N‐[2‐(4‐fluorophenyl)propan‐2‐yl]‐1H‐indole‐3‐carboxamide,,4f-cumyl-5f-pica
1013,4F-CUMYL-5F-PINACA,4F-CUMYL-5F-PINACA,NPS,Cannabinoids,Cannabinoid,,,,,1‐(5‐fluoropentyl)‐N‐[2‐(4‐fluorophenyl)propan‐2‐yl]‐1H‐indazole‐3‐carboxamide,,4f-cumyl-5f-pinaca
1016,4F-EPH,4f-eph,NPS,,Stimulant,,,,,,,4f-eph
1018,4F-Ethylphenidate,4f-eph,NPS,,Stimulant,4-Fluoroethylphenidate,,,,,,4f-ethylphenidate
1020,4F-IBF,4f-ibf,NPS,,Sedative - opioid,4-Fluoroisobutyrfentanyl,,,,,,4f-ibf
1025,4F-IPV,4F-IPV,NPS,,,,,,,1-(4-Fluorophenyl)-2-(isopropylamino)pentan-1-one4-fluoro-N-isopropylnorpentedrone,,4f-ipv
1047,4F-MDMB-BINACA,4F-MDMB-BINACA,NPS,Cannabinoids,Cannabinoid,"methyl 2-(1-(4-fluorobutyl)-1H-indazole-3-carboxamido)-3,3-dimethylbutanoate",,4-Fluorocyclopropylbenzylfentanyl,,"methyl 2‐{[1‐(4‐fluorobutyl)‐1H‐indazol‐3‐yl]formamido}‐3,3‐dimethylbutanoate",,4f-mdmb-binaca
1038,4F-MPH,4-fluoromethylphenidate,NPS,,Stimulant,,,,,,,4f-mph
1048,4F-MT-45,4F-MT-45,NPS,Opioids,Sedative - opioid,,,,,1-cyclohexyl-4-[1-(4-fluorophenyl)-2-phenylethyl]piperazine,,4f-mt-45
1035,4F-Methylphenidate,4-fluoromethylphenidate,NPS,,Stimulant,,,,,,,4f-methylphenidate
1049,4F-NEB,4F-NEB,NPS,,Stimulant,,,,,2-(ethylamino)-1-(4-fluorophenyl)butan-1-one,,4f-neb
1050,4F-NNEI,4F-NNEI,NPS,Cannabinoids,Cannabinoid,4F-MN-24,4F-NNE1,,,1-(4-fluoropentyl)-N-(naphthalen-1-yl)-1H-indole-3-carboxamide,,4f-nnei
1051,4F-NPP,4F-NPP,NPS,Cathinones,Stimulant,,,,,1‐(4‐fluorophenyl)‐2‐[(propan‐2‐yl)amino]pentan‐1‐one,,4f-npp
1052,4F-PBP,4F-PBP,NPS,Cathinones,Stimulant,4'-Fluoro-α-pyrrolidinopentiophenone,,,,(1-(4-fluorophenyl)-2-(1-pyrrolidinyl)-1-butanone),,4f-pbp
1055,4F-PHP,4f-php,NPS,,Stimulant,,,,,,,4f-php
1057,4F-PV8,4F-PV8,NPS,Cathinones,Stimulant,4F-PEP,4F-alpha-PEP,,,1-(4-fluorophenyl)-2-(pyrrolidin-1-yl)heptan-1-one,,4f-pv8
1058,4F-PV9,4f-pv9,NPS,,Stimulant,,,,,,,4f-pv9
1007,4F-PVP,4F-alpha-PVP,NPS,,Stimulant,,,,,,,4f-pvp
1004,4F-alpha-PHiP,4F-alpha-PHiP,NPS,,Stimulant,,,,,1-(4-fluorophenyl)-4-methyl-2-(pyrrolidin-1-yl)pentan-1-one,,4f-alpha-phip
1005,4F-alpha-PVP,4F-alpha-PVP,NPS,Cathinones,Stimulant,4F-PVP,4-fluoro-alpha-pyrrolidinovalerophenone,,,1-(4-fluorophenyl)-2-(pyrrolidin-1-yl)pentan-1-one),,4f-alpha-pvp
1019,4F-ethamphetamine,4F-ethamphetamine,NPS,Phenethylamines,,,,,,ethyl[1‐(4‐fluorophenyl)propan‐2‐yl]amine,,4f-ethamphetamine
999,4FA,4-FA,NPS,,Stimulant,,,,,,,4fa
1044,4FMA,4-fma,NPS,,Stimulant,,,,,,,4fma
1036,4FMP,4-fluoromethylphenidate,NPS,,Stimulant,,,,,,,4fmp
1063,4HO-MET,4-ho-met,NPS,,Hallucinogen/dissociative/psychedelic,,,,,,,4ho-met
1904,4M-PHP,MPHP,NPS,,Stimulant,,,,,,,4m-php
1116,4MPD,4-methylpentedrone,NPS,,Stimulant,,,,,,,4mpd
941,4_Methyl_PV8,4_Methyl_PV8,NPS,Cathinones,Stimulant,,,,,1-(4-methylphenyl)-2-(pyrrolidin-1-yl)heptan-1-one,,4_methyl_pv8
977,4c-pvp,4CI-alpha-PVP,NPS,,Stimulant,,,,,,,4c-pvp
1124,4mmc,Mephedrone,NPS,,Stimulant,,,,,,,4mmc
1149,5 EAPB,5-eapb,NPS,,Stimulant,,,,,,,5 eapb
